,office,ts_id
263,LRL,Newburgh.Stage.Inst.15Minutes.0.LRGS-raw
264,LRL,Newburgh.Stage.Inst.15Minutes.0.LRGS-rev
265,LRL,Newburgh.Stage.Inst.15Minutes.0.USGS-raw
266,LRL,Newburgh.Stage.Inst.15Minutes.0.USGS-rev
267,LRL,Barkley-BARK2.Flow.Ave.~6Hours.6Hours.TVA-fct
268,LRL,Barkley-BARK2.Flow.Inst.1Hour.0.TVA-obs
269,LRL,GRLK2.Flow-ResIn.Inst.6Hours.0.OHRFC-0hrQPF
270,LRL,GRLK2.Flow-ResIn.Inst.6Hours.0.OHRFC-48hrQPF
271,LRL,GRLK2.Flow-ResIn.Inst.6Hours.0.OHRFC-operQPF
272,LRL,GRLK2.Flow.Inst.6Hours.0.OHRFC-0hrQPF
273,LRL,GRLK2.Flow.Inst.6Hours.0.OHRFC-48hrQPF
274,LRL,GRLK2.Flow.Inst.6Hours.0.OHRFC-operQPF
288,LRL,Buckhorn.Depth-Snow.Inst.~1Day.0.radar-test
289,LRL,Buckhorn.Depth-SnowWE.Inst.~1Day.0.radar-test
290,LRL,Buckhorn.Elev.Inst.0.0.lrldlb-raw
291,LRL,Buckhorn.Elev.Inst.0.0.lrldlb-rev
292,LRL,Buckhorn.Elev.Inst.0.0.radar-test
293,LRL,Buckhorn.Elev.Inst.15Minutes.0.LRGS-raw
294,LRL,Buckhorn.Elev.Inst.15Minutes.0.LRGS-rev
295,LRL,Buckhorn.Elev.Inst.1Hour.0.LRL-cavi-fct
296,LRL,Buckhorn.Elev.Inst.1Hour.0.National-CWMS-Forecast
297,LRL,Buckhorn.Elev.Inst.1Hour.0.lrldlb-comp
298,LRL,Buckhorn.Elev.Inst.~1Day.0.LRL-cavi-fct
299,LRL,Buckhorn.Flow-BP1.Inst.0.0.lrldlb-comp
300,LRL,Buckhorn.Flow-BP1.Inst.1Hour.0.lrldlb-comp
301,LRL,Buckhorn.Flow-BP2.Inst.0.0.lrldlb-comp
302,LRL,Buckhorn.Flow-BP2.Inst.1Hour.0.lrldlb-comp
303,LRL,Buckhorn.Flow-Inflow.Ave.1Hour.1Hour.lrldlb-comp
304,LRL,Buckhorn.Flow-Inflow.Ave.1Hour.6Hours.lrldlb-comp
305,LRL,Buckhorn.Flow-Inflow.Inst.1Hour.0.National-CWMS-Forecast
306,LRL,Buckhorn.Flow-MG1.Inst.0.0.lrldlb-comp
307,LRL,Buckhorn.Flow-MG1.Inst.1Hour.0.lrldlb-comp
308,LRL,Buckhorn.Flow-Outflow.Ave.1Hour.1Hour.lrldlb-comp
309,LRL,Buckhorn.Flow-Outflow.Inst.0.0.lrldlb-comp
310,LRL,Buckhorn.Flow-Outflow.Inst.1Hour.0.LRL-cavi-fct
311,LRL,Buckhorn.Flow-Outflow.Inst.1Hour.0.National-CWMS-Forecast
312,LRL,Buckhorn.Flow-Outflow.Inst.1Hour.0.lrldlb-comp
313,LRL,Buckhorn.Flow-Outflow.Inst.~1Day.0.LRL-cavi-fct
314,LRL,Buckhorn.Opening-BP1.Inst.0.0.lrldlb-fct
315,LRL,Buckhorn.Opening-BP1.Inst.0.0.lrldlb-raw
316,LRL,Buckhorn.Opening-BP1.Inst.0.0.lrldlb-rev
317,LRL,Buckhorn.Opening-BP1.Inst.0.0.radar-test
318,LRL,Buckhorn.Opening-BP1.Inst.1Hour.0.lrldlb-comp
319,LRL,Buckhorn.Opening-BP2.Inst.0.0.lrldlb-fct
320,LRL,Buckhorn.Opening-BP2.Inst.0.0.lrldlb-raw
321,LRL,Buckhorn.Opening-BP2.Inst.0.0.lrldlb-rev
322,LRL,Buckhorn.Opening-BP2.Inst.0.0.radar-test
323,LRL,Buckhorn.Opening-BP2.Inst.1Hour.0.lrldlb-comp
324,LRL,Buckhorn.Opening-L1.Inst.0.0.lrldlb-raw
325,LRL,Buckhorn.Opening-L1.Inst.0.0.lrldlb-rev
326,LRL,Buckhorn.Opening-L1.Inst.1Hour.0.lrldlb-comp
327,LRL,Buckhorn.Opening-L2.Inst.0.0.lrldlb-raw
328,LRL,Buckhorn.Opening-L2.Inst.0.0.lrldlb-rev
329,LRL,Buckhorn.Opening-L2.Inst.1Hour.0.lrldlb-comp
330,LRL,Buckhorn.Opening-MG1.Inst.0.0.lrldlb-fct
331,LRL,Buckhorn.Opening-MG1.Inst.0.0.lrldlb-raw
332,LRL,Buckhorn.Opening-MG1.Inst.0.0.lrldlb-rev
333,LRL,Buckhorn.Opening-MG1.Inst.0.0.radar-test
334,LRL,Buckhorn.Opening-MG1.Inst.1Hour.0.lrldlb-comp
335,LRL,Buckhorn.Opening-MG2.Inst.0.0.lrldlb-raw
336,LRL,Buckhorn.Opening-MG2.Inst.0.0.lrldlb-rev
337,LRL,Buckhorn.Opening-MG2.Inst.1Hour.0.lrldlb-comp
338,LRL,Buckhorn.Precip-Loss.Inst.1Hour.0.National-CWMS-Forecast
339,LRL,Buckhorn.Precip.Inst.15Minutes.0.LRGS-raw
340,LRL,Buckhorn.Precip.Inst.1Hour.0.National-CWMS-Forecast
341,LRL,Buckhorn.Precip.Total.1Hour.1Hour.Openweather
342,LRL,Buckhorn.Precip.Total.~1Day.1Day.lrldlb-raw
343,LRL,Buckhorn.Precip.Total.~1Day.1Day.lrldlb-rev
344,LRL,Buckhorn.Precip.Total.~1Day.1Day.radar-test
345,LRL,Buckhorn.Stage-Tailwater.Inst.0.0.lrldlb-raw
346,LRL,Buckhorn.Stage-Tailwater.Inst.0.0.radar-test
347,LRL,Buckhorn.Stage.Inst.15Minutes.0.LRGS-raw
348,LRL,Buckhorn.Stage.Inst.15Minutes.0.LRGS-rev
349,LRL,Buckhorn.Stor.Inst.1Hour.0.lrldlb-comp
350,LRL,Buckhorn.Temp-Air.Inst.1Hour.0.Openweather
351,LRL,Buckhorn.Temp-Air.Inst.~1Day.0.lrldlb-raw
352,LRL,Buckhorn.Temp-Air.Inst.~1Day.0.radar-test
353,LRL,Buckhorn.Temp-Air.Max.~1Day.1Day.lrldlb-raw
354,LRL,Buckhorn.Temp-Air.Max.~1Day.1Day.radar-test
355,LRL,Buckhorn.Temp-Air.Min.~1Day.1Day.lrldlb-raw
356,LRL,Buckhorn.Temp-Air.Min.~1Day.1Day.radar-test
357,LRL,Buckhorn.Temp-Water.Inst.~1Day.0.lrldlb-raw
358,LRL,Buckhorn.Temp-Water.Inst.~1Day.0.radar-test
359,LRL,Kentucky-KYDK2.Flow.Ave.~6Hours.6Hours.TVA-fct
360,LRL,Kentucky-KYDK2.Flow.Inst.1Hour.0.TVA-obs
367,LRL,Olmsted-OLMI2.Code-Ice.Inst.0.0.LPMS-raw
368,LRL,Olmsted-OLMI2.Code-Weather.Inst.0.0.LPMS-raw
369,LRL,Olmsted-OLMI2.Count-Needles.Inst.0.0.LPMS-raw
370,LRL,Olmsted-OLMI2.Count-Wickets-Down.Inst.0.0.LPMS-raw
371,LRL,Olmsted-OLMI2.Dir-Wind.Inst.0.0.LPMS-raw
372,LRL,Olmsted-OLMI2.Elev-Headwater.Inst.15Minutes.0.USGS-comp
373,LRL,Olmsted-OLMI2.Elev-Tailwater.Inst.15Minutes.0.USGS-comp
374,LRL,Olmsted-OLMI2.Flow.Ave.15Minutes.15Minutes.USGS-raw
375,LRL,Olmsted-OLMI2.Flow.Ave.15Minutes.15Minutes.USGS-rev
376,LRL,Olmsted-OLMI2.Opening-Gate-Average.Inst.1Hour.0.LPMS-comp
377,LRL,Olmsted-OLMI2.Opening-Gate-Total.Inst.0.0.LPMS-raw
378,LRL,Olmsted-OLMI2.Precip.Total.0.1Day.LPMS-raw
379,LRL,Olmsted-OLMI2.Precip.Total.15Minutes.15Minutes.USGS-raw
380,LRL,Olmsted-OLMI2.Precip.Total.15Minutes.15Minutes.USGS-rev
381,LRL,Olmsted-OLMI2.Stage-Headwater.Inst.0.0.LPMS-raw
382,LRL,Olmsted-OLMI2.Stage-Headwater.Inst.15Minutes.0.USGS-raw
383,LRL,Olmsted-OLMI2.Stage-Headwater.Inst.15Minutes.0.USGS-rev
384,LRL,Olmsted-OLMI2.Stage-Headwater.Inst.1Day.0.LPMS-comp
385,LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.0.0.LPMS-raw
386,LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.15Minutes.0.USGS-raw
387,LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.15Minutes.0.USGS-rev
388,LRL,Olmsted-OLMI2.Stage-Tailwater.Inst.1Day.0.LPMS-comp
389,LRL,Olmsted-OLMI2.Temp-Air.Inst.0.0.LPMS-raw
390,LRL,Olmsted-OLMI2.Temp-Water.Inst.0.0.LPMS-raw
391,LRL,Olmsted-OLMI2.Temp-Water.Inst.15Minutes.0.USGS-raw
392,LRL,Olmsted-OLMI2.Temp-Water.Inst.15Minutes.0.USGS-rev
393,LRL,Olmsted-TW.Stage.Inst.15Minutes.0.USGS-raw
394,LRL,Olmsted-TW.Stage.Inst.15Minutes.0.USGS-rev
395,LRL,Olmsted.Flow.Ave.15Minutes.15Minutes.USGS-raw
396,LRL,Olmsted.Flow.Ave.15Minutes.15Minutes.USGS-rev
397,LRL,Olmsted.Precip.Total.15Minutes.15Minutes.USGS-raw
398,LRL,Olmsted.Precip.Total.15Minutes.15Minutes.USGS-rev
399,LRL,Olmsted.Stage-Tailwater.Inst.15Minutes.0.LRGS-raw
400,LRL,Olmsted.Stage-Tailwater.Inst.15Minutes.0.LRGS-rev
401,LRL,Olmsted.Temp-Water.Inst.15Minutes.0.USGS-raw
402,LRL,Olmsted.Temp-Water.Inst.15Minutes.0.USGS-rev
403,LRL,OlmstedUpr.Stage.Inst.15Minutes.0.LRGS-raw
404,LRL,OlmstedUpr.Stage.Inst.15Minutes.0.LRGS-rev
417,LRL,Taylorsville.Elev.Inst.0.0.lrldlb-raw
418,LRL,Taylorsville.Elev.Inst.0.0.lrldlb-rev
419,LRL,Taylorsville.Elev.Inst.15Minutes.0.LRGS-raw
420,LRL,Taylorsville.Elev.Inst.15Minutes.0.LRGS-rev
421,LRL,Taylorsville.Elev.Inst.1Hour.0.LRL-cavi-fct
